type,title,rating,ratinglevel,ratingdescription,release_year,user_rating_score,user_rating_size
TVshow,One Day at a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,,82
TVshow,No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
TVshow,Hot Girls Wanted: Turned On,TV-MA,,110,2017,,82
TVshow,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
TVshow,Better Off Single,TV-MA,,110,2016,,82
TVshow,Sandy Wexler,TV-14,,90,2017,92,80
TVshow,Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93,80
TVshow,The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,60,2016,79,80
TVshow,Tramps,TV-MA,,110,2017,,82
TVshow,Slam,TV-MA,,110,2017,,82
TVshow,Cheer Squad,TV-PG,,70,2016,61,80
TVshow,Almost Adults,NR,This movie has not been rated.,124,2016,,82
TVshow,The Waterboy,PG-13,language and some crude sexual humor,80,1998,82,80
TVshow,10 Things I Hate About You,PG-13,"adult content, adult language and mild violence",80,1999,68,80
TVshow,Grease,PG,Parental guidance suggested. May not be suitable for children.,60,1978,86,80
TVshow,How to Lose a Guy in 10 Days,PG-13,some sex-related material,80,2003,56,80
TVshow,The Benchwarmers,PG-13,"crude and suggestive humor, and for language",80,2006,77,80
TVshow,Step Up,PG-13,"thematic elements, brief violence and innuendo",80,2006,64,80
TVshow,High School Musical 2,TV-G,Suitable for all ages.,35,2007,58,80
TVshow,Twilight,PG-13,some violence and one sexual scene,80,2008,89,80
TVshow,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95,80
TVshow,Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35,2009,56,80
TVshow,The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97,80
TVshow,Friday Night Lights,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,81,80
TVshow,StarStruck,TV-G,Suitable for all ages.,35,2010,,82
TVshow,Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
TVshow,Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
TVshow,90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62,80
TVshow,Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96,80
TVshow,How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80
TVshow,Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92,80
TVshow,The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
TVshow,Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80
TVshow,Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
TVshow,Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,80
TVshow,Mean Girls 2,PG-13,"For some rude and suggestive material, and for language.",80,2011,,82
TVshow,The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,80
